city_id,city_name_cn,province_name,metric_year,statutory_debt_balance_100m,source_doc_id,source_url,evidence_excerpt,source_grade,value_origin,table_name,document_title,publisher,publication_date,period_end,source_note
CN-140200,大同市,山西省,2021,456.19,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：大同市2021年地方政府债务余额456.19亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140300,阳泉市,山西省,2019,161.6,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：阳泉市2019年柱形图按纵轴刻度转录约161.6亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140300,阳泉市,山西省,2020,231.1,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：阳泉市2020年柱形图按纵轴刻度转录约231.1亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140300,阳泉市,山西省,2021,258.3,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：阳泉市2021年柱形图按纵轴刻度转录约258.3亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140400,长治市,山西省,2019,200.9,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：长治市2019年柱形图按纵轴刻度转录约200.9亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140400,长治市,山西省,2020,255.3,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：长治市2020年柱形图按纵轴刻度转录约255.3亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140400,长治市,山西省,2021,301.48,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：长治市2021年地方政府债务余额301.48亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140500,晋城市,山西省,2019,128.3,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：晋城市2019年柱形图按纵轴刻度转录约128.3亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140500,晋城市,山西省,2020,191.8,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：晋城市2020年柱形图按纵轴刻度转录约191.8亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140500,晋城市,山西省,2021,241.70,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：晋城市2021年地方政府债务余额241.70亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140600,朔州市,山西省,2019,149.5,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：朔州市2019年柱形图按纵轴刻度转录约149.5亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140600,朔州市,山西省,2020,179.7,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：朔州市2020年柱形图按纵轴刻度转录约179.7亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140600,朔州市,山西省,2021,213.30,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：朔州市2021年地方政府债务余额213.30亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140700,晋中市,山西省,2019,346.0,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：晋中市2019年柱形图按纵轴刻度转录约346.0亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140700,晋中市,山西省,2020,409.5,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：晋中市2020年柱形图按纵轴刻度转录约409.5亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140700,晋中市,山西省,2021,468.17,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：晋中市2021年地方政府债务余额468.17亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140800,运城市,山西省,2019,191.8,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：运城市2019年柱形图按纵轴刻度转录约191.8亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140800,运城市,山西省,2020,237.2,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：运城市2020年柱形图按纵轴刻度转录约237.2亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140800,运城市,山西省,2021,292.44,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：运城市2021年地方政府债务余额292.44亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-140900,忻州市,山西省,2019,240.2,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：忻州市2019年柱形图按纵轴刻度转录约240.2亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140900,忻州市,山西省,2020,300.6,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：忻州市2020年柱形图按纵轴刻度转录约300.6亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-140900,忻州市,山西省,2021,359.50,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：忻州市2021年地方政府债务余额359.50亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-141000,临汾市,山西省,2019,303.7,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：临汾市2019年柱形图按纵轴刻度转录约303.7亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-141000,临汾市,山西省,2020,415.5,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：临汾市2020年柱形图按纵轴刻度转录约415.5亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-141000,临汾市,山西省,2021,453.72,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》表8：临汾市2021年地方政府债务余额453.72亿元,B2,disclosed,表8 2021年山西省各地市“发债城投企业全部债务+地方政府债务”负担情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-141100,吕梁市,山西省,2019,252.3,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：吕梁市2019年柱形图按纵轴刻度转录约252.3亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2019-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-141100,吕梁市,山西省,2020,358.1,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：吕梁市2020年柱形图按纵轴刻度转录约358.1亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2020-12-31,图6柱形高度按公开纵轴刻度转录，作为阶段性补缺值，待各市财政决算原表复核。
CN-141100,吕梁市,山西省,2021,403.4,SRC-SECONDARY-RATING-SHANXI-2019-2021,https://www.lhratings.com/file/683eca55-6bc5-446b-95d0-03c1c4fdf44f.pdf,联合资信《山西篇》图6：吕梁市2021年柱形图按纵轴刻度转录约403.4亿元,B2,chart_digitized,图6 山西省各地市政府债务余额情况,地方政府与城投企业债务风险研究报告——山西篇,联合资信评估股份有限公司,2022-10-20,2021-12-31,表格值为公开研究报告明确列示；图表值按纵轴刻度转录，均待各市财政决算原表复核。
CN-320100,南京市,江苏省,2019,2585.5,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：南京市2019年灰柱按纵轴刻度转录约2585.5亿元；与南京市2019年市级决算报告全市余额交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320200,无锡市,江苏省,2019,1196.4,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：无锡市2019年灰柱按纵轴刻度估读约1196.4亿元,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表估读值，非表格精确值；待无锡市全市口径财政决算附件及省财政厅逐市原表复核。
CN-320300,徐州市,江苏省,2019,937.7,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：徐州市2019年灰柱转录约937.7亿元；与评级材料交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320400,常州市,江苏省,2019,1006.8,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：常州市2019年灰柱转录约1006.8亿元；与常州市公开决算表1006.84亿元交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320500,苏州市,江苏省,2019,1390.6,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：苏州市2019年灰柱按纵轴刻度转录约1390.6亿元；与苏州市政府公开预算报告交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320600,南通市,江苏省,2019,1562.7,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：南通市2019年灰柱按纵轴刻度转录约1562.7亿元；与南通市财政局公开表交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320700,连云港市,江苏省,2019,530.8,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：连云港市2019年灰柱转录约530.8亿元；与评级材料530.75亿元交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。,
CN-320800,淮安市,江苏省,2019,586.2,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：淮安市2019年灰柱转录约586.2亿元；与评级材料交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-320900,盐城市,江苏省,2019,1177.4,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：盐城市2019年灰柱按纵轴刻度转录约1177.4亿元；与评级材料交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-321000,扬州市,江苏省,2019,850.0,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：扬州市2019年灰柱转录约850.0亿元；与公开评级材料849.99亿元交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
CN-321100,镇江市,江苏省,2019,1096.8,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：镇江市2019年灰柱按纵轴刻度估读约1096.8亿元；按报告披露的同比增速与2018年公开余额辅助核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表估读值；待镇江市财政决算附件及省财政厅逐市原表复核。
CN-321200,泰州市,江苏省,2019,759.2,SRC-SECONDARY-RATING-JIANGSU-2019-CITY-TOTALS,https://pdf.dfcfw.com/pdf/H3_AP202012021435107342_1.pdf?1606897619000.pdf=,联合资信报告图7：泰州市2019年灰柱转录约759.2亿元；与评级材料759.19亿元交叉核对,B2,chart_digitized,图7 2017—2019年底江苏省各地级市政府债务余额情况,地方政府与城投企业债务风险研究报告——江苏篇（上）,联合资信评估股份有限公司,2020-12-02,2019-12-31,图表转录值；南京、南通、苏州、盐城、常州、徐州、扬州、泰州、淮安、连云港等值有公开市级/评级材料交叉核对，仍待省财政厅逐市原表升级。
